frame,timestamp_sec,live_vehicles,pred_vehicles_5s,overspeeding_vehicles,lane_crossings,speed_variation,risk_score,pred_risk_score_5s
1,0.04,16,16,0,0,0.0,28.2,28.2
2,0.08,16,16,0,0,0.0,28.2,28.2
3,0.12,17,17,0,0,0.0,29.4,29.4
4,0.16,17,17,0,0,0.0,29.4,29.4
5,0.2,17,17,0,0,0.0,29.4,29.4
6,0.24,18,18,0,0,0.0,30.6,30.6
7,0.28,18,18,0,0,0.0,30.6,30.6
8,0.32,18,18,0,1,0.0,30.6,30.6
9,0.36,17,17,0,0,0.0,29.4,29.4
10,0.4,17,17,0,1,0.0,29.4,29.4
11,0.44,17,17,0,1,0.0,29.4,29.4
12,0.48,16,16,0,1,0.0,28.2,28.2
13,0.52,18,18,8,1,48.341,49.936,49.936
14,0.56,19,19,8,0,49.352,51.541,51.541
15,0.6,17,17,8,0,47.313,48.325,48.325
16,0.64,15,15,8,0,46.936,45.775,45.775
17,0.68,15,15,8,0,46.454,45.582,45.582
18,0.72,15,15,8,0,46.821,45.728,45.728
19,0.76,15,15,8,0,46.728,45.691,45.691
20,0.8,16,16,8,0,48.694,47.677,47.677
21,0.84,17,17,8,0,48.853,48.941,48.941
22,0.88,17,17,8,0,48.301,48.721,48.721
23,0.92,17,17,8,0,45.146,47.459,47.459
24,0.96,17,17,8,0,47.083,48.233,48.233
25,1.0,17,17,8,0,44.039,47.016,47.016
26,1.04,17,17,8,0,43.983,46.993,46.993
27,1.08,17,17,8,0,41.924,46.17,46.17
28,1.12,18,18,8,0,40.386,46.754,46.754
29,1.16,17,17,8,0,40.317,45.527,45.527
30,1.2,17,17,8,0,41.111,45.845,45.845
31,1.24,17,17,8,0,39.732,45.293,45.293
32,1.28,17,17,8,0,37.824,44.53,44.53
33,1.32,17,17,8,0,38.121,44.648,44.648
34,1.36,17,17,8,0,37.807,44.523,44.523
35,1.4,17,17,8,0,37.9,44.56,44.56
36,1.44,16,16,9,0,39.186,43.875,43.875
37,1.48,16,16,9,0,38.596,43.638,43.638
38,1.52,16,16,9,0,36.923,42.969,42.969
39,1.56,16,16,9,0,38.703,43.681,43.681
40,1.6,16,16,9,0,37.486,43.195,43.195
41,1.64,16,16,9,0,36.837,42.935,42.935
42,1.68,16,16,9,0,35.012,42.205,42.205
43,1.72,17,17,9,0,36.313,43.925,43.925
44,1.76,17,17,9,0,34.171,43.069,43.069
45,1.8,16,16,9,0,33.268,41.507,41.507
46,1.84,16,16,9,0,32.339,41.136,41.136
47,1.88,16,16,9,0,31.836,40.935,40.935
48,1.92,16,16,9,0,31.736,40.894,40.894
49,1.96,16,16,8,0,30.83,40.532,40.532
50,2.0,16,16,8,0,29.794,40.118,40.118
51,2.04,16,16,8,0,29.957,40.183,40.183
52,2.08,16,16,7,0,29.638,40.055,40.055
53,2.12,16,16,8,0,29.46,39.984,39.984
54,2.16,16,16,7,0,28.609,39.643,39.643
55,2.2,15,15,7,0,27.046,37.818,37.818
56,2.24,16,16,7,0,29.944,40.178,40.178
57,2.28,16,16,7,0,28.253,39.501,39.501
58,2.32,17,17,7,0,31.391,41.956,41.956
59,2.36,17,17,7,0,30.036,41.414,41.414
60,2.4,17,17,7,0,27.491,40.396,40.396
61,2.44,17,17,7,0,25.27,39.508,39.508
62,2.48,18,18,6,0,25.179,40.672,40.672
63,2.52,18,18,6,0,23.607,40.043,40.043
64,2.56,19,19,6,0,25.778,42.111,42.111
65,2.6,19,19,6,0,24.65,41.66,41.66
66,2.64,19,19,6,0,25.017,41.807,41.807
67,2.68,19,19,5,0,24.088,41.435,41.435
68,2.72,19,19,5,0,22.528,40.811,40.811
69,2.76,19,19,6,0,23.42,41.168,41.168
70,2.8,19,19,5,0,21.459,40.384,40.384
71,2.84,19,19,5,0,21.021,40.208,40.208
72,2.88,19,19,4,0,20.4,39.96,39.96
73,2.92,19,19,5,0,19.967,39.787,39.787
74,2.96,19,19,5,0,20.84,40.136,40.136
75,3.0,19,19,5,0,20.297,39.919,39.919
76,3.04,19,20,5,0,20.955,40.182,49.99
77,3.08,19,20,5,0,19.335,39.534,49.416
78,3.12,19,20,5,0,18.227,39.091,48.797
79,3.16,19,21,4,0,17.354,38.742,48.155
80,3.2,18,21,5,0,15.456,36.782,47.225
81,3.24,19,21,4,0,17.835,38.934,46.699
82,3.28,18,21,4,0,14.316,36.326,45.789
83,3.32,18,21,5,0,14.846,36.538,44.965
84,3.36,18,21,4,0,13.896,36.158,44.131
85,3.4,19,21,4,0,17.151,38.66,43.72
86,3.44,18,21,3,0,13.685,36.074,42.952
