frame,timestamp_sec,track_id,vehicle_class,speed_kmh,overspeed_flag
1,0.033,1,Car,0.0,0
2,0.067,1,Car,0.0,0
3,0.1,1,Car,0.0,0
4,0.133,1,Car,0.0,0
5,0.167,1,Car,0.0,0
6,0.2,1,Car,0.0,0
7,0.234,1,Car,0.0,0
8,0.267,1,Car,0.0,0
9,0.3,1,Car,0.0,0
10,0.334,1,Car,0.0,0
11,0.367,1,Car,0.0,0
12,0.4,1,Car,0.0,0
13,0.434,1,Car,0.0,0
14,0.467,1,Car,0.0,0
15,0.501,1,Car,57.5,0
16,0.534,1,Car,60.7,1
17,0.567,1,Car,57.1,0
18,0.601,1,Car,59.9,0
19,0.634,1,Car,56.8,0
20,0.667,1,Car,59.3,0
21,0.701,1,Car,56.5,0
22,0.734,1,Car,53.9,0
23,0.767,1,Car,56.3,0
24,0.801,1,Car,58.4,0
25,0.834,1,Car,56.1,0
26,0.868,1,Car,53.9,0
27,0.901,1,Car,55.9,0
28,0.934,1,Car,53.9,0
29,0.968,1,Car,55.8,0
30,1.001,1,Car,55.8,0
31,1.034,1,Car,55.8,0
32,1.068,1,Car,52.1,0
33,1.101,1,Car,52.1,0
34,1.134,1,Car,52.1,0
35,1.168,1,Car,52.1,0
36,1.201,1,Car,52.1,0
37,1.235,1,Car,48.4,0
38,1.268,1,Car,52.1,0
39,1.301,1,Car,52.1,0
40,1.335,1,Car,55.8,0
41,1.368,1,Car,55.8,0
42,1.401,1,Car,55.8,0
43,1.435,1,Car,55.8,0
44,1.468,1,Car,52.1,0
45,1.502,1,Car,55.8,0
46,1.535,1,Car,55.8,0
47,1.568,1,Car,55.8,0
48,1.602,1,Car,52.1,0
49,1.635,1,Car,55.8,0
50,1.668,1,Car,59.5,0
51,1.702,1,Car,55.8,0
52,1.735,1,Car,52.1,0
53,1.768,1,Car,55.8,0
54,1.802,1,Car,59.5,0
55,1.835,1,Car,59.5,0
56,1.869,1,Car,59.5,0
57,1.902,1,Car,55.8,0
58,1.935,1,Car,59.5,0
59,1.969,1,Car,55.8,0
60,2.002,1,Car,63.2,1
61,2.035,1,Car,63.2,1
62,2.069,1,Car,59.5,0
63,2.102,1,Car,55.8,0
64,2.135,1,Car,59.5,0
65,2.169,1,Car,59.5,0
66,2.202,1,Car,59.5,0
67,2.236,1,Car,55.8,0
68,2.269,1,Car,55.8,0
69,2.302,1,Car,55.8,0
70,2.336,1,Car,55.8,0
71,2.369,1,Car,52.1,0
72,2.402,1,Car,55.8,0
73,2.436,1,Car,52.1,0
74,2.469,1,Car,52.1,0
75,2.502,1,Car,55.8,0
76,2.536,1,Car,59.5,0
77,2.569,1,Car,55.8,0
78,2.603,1,Car,55.8,0
79,2.636,1,Car,59.5,0
80,2.669,1,Car,59.5,0
81,2.703,1,Car,55.8,0
82,2.736,1,Car,55.8,0
83,2.769,1,Car,52.1,0
84,2.803,1,Car,55.8,0
85,2.836,1,Car,59.5,0
86,2.87,1,Car,55.8,0
87,2.903,1,Car,55.8,0
88,2.936,1,Car,55.8,0
89,2.97,1,Car,52.1,0
90,3.003,1,Car,55.8,0
91,3.036,1,Car,55.8,0
92,3.07,1,Car,55.8,0
93,3.103,1,Car,55.8,0
94,3.136,1,Car,55.8,0
95,3.17,1,Car,55.8,0
96,3.203,1,Car,55.8,0
97,3.237,1,Car,55.8,0
98,3.27,1,Car,55.8,0
99,3.303,1,Car,55.8,0
100,3.337,1,Car,55.8,0
101,3.37,1,Car,55.8,0
102,3.403,1,Car,55.8,0
103,3.437,1,Car,52.1,0
104,3.47,1,Car,52.1,0
105,3.504,1,Car,55.8,0
106,3.537,1,Car,52.1,0
107,3.57,1,Car,52.1,0
108,3.604,1,Car,52.1,0
109,3.637,1,Car,55.8,0
110,3.67,1,Car,52.1,0
111,3.704,1,Car,55.8,0
112,3.737,1,Car,52.1,0
113,3.77,1,Car,52.1,0
114,3.804,1,Car,52.1,0
115,3.837,1,Car,55.8,0
116,3.871,1,Car,52.1,0
117,3.904,1,Car,55.8,0
118,3.937,1,Car,52.1,0
119,3.971,1,Car,55.8,0
120,4.004,1,Car,52.1,0
121,4.037,1,Car,55.8,0
122,4.071,1,Car,52.1,0
123,4.104,1,Car,55.8,0
124,4.137,1,Car,52.1,0
125,4.171,1,Car,55.8,0
126,4.204,1,Car,52.1,0
127,4.238,1,Car,55.8,0
128,4.271,1,Car,52.1,0
129,4.304,1,Car,52.1,0
130,4.338,1,Car,52.1,0
131,4.371,1,Car,52.1,0
132,4.404,1,Car,52.1,0
133,4.438,1,Car,48.4,0
134,4.471,1,Car,52.1,0
135,4.505,1,Car,48.4,0
136,4.538,1,Car,52.1,0
137,4.571,1,Car,48.4,0
138,4.605,1,Car,52.1,0
139,4.638,1,Car,48.4,0
140,4.671,1,Car,52.1,0
141,4.705,1,Car,48.4,0
142,4.738,1,Car,52.1,0
143,4.771,1,Car,48.4,0
144,4.805,1,Car,52.1,0
145,4.838,1,Car,48.4,0
146,4.872,1,Car,52.1,0
147,4.905,1,Car,48.4,0
148,4.938,1,Car,52.1,0
149,4.972,1,Car,48.4,0
150,5.005,1,Car,52.1,0
151,5.038,1,Car,48.4,0
152,5.072,1,Car,52.1,0
153,5.105,1,Car,48.4,0
