track_id,vehicle_class,first_frame,last_frame,duration_sec,max_speed_kmh,avg_speed_kmh,min_speed_kmh,overspeed_flag,overspeed_note
1,Car,3,168,6.6,59.72,46.94,0.0,0,Within limit
3,Car,3,237,9.36,71.21,47.62,0.0,1,Exceeded limit by 11.2 km/h
5,Car,10,45,1.4,21.95,13.08,0.0,0,Within limit
6,Truck,10,278,10.72,63.35,35.7,0.0,1,Exceeded limit by 3.3 km/h
7,Car,11,257,9.84,73.66,48.7,0.0,1,Exceeded limit by 13.7 km/h
8,Car,17,54,1.48,186.42,88.14,0.0,1,Exceeded limit by 126.4 km/h
12,Car,50,80,1.2,220.82,203.77,0.0,1,Exceeded limit by 160.8 km/h
14,Car,72,107,1.4,216.37,189.84,0.0,1,Exceeded limit by 156.4 km/h
15,Car,77,108,1.24,132.19,123.18,0.0,1,Exceeded limit by 72.2 km/h
16,Car,93,380,11.48,67.65,45.96,0.0,1,Exceeded limit by 7.6 km/h
19,Car,99,134,1.4,199.45,171.81,0.0,1,Exceeded limit by 139.4 km/h
20,Car,129,165,1.44,238.69,113.75,0.0,1,Exceeded limit by 178.7 km/h
24,Car,156,193,1.48,239.47,109.02,0.0,1,Exceeded limit by 179.5 km/h
25,Car,158,191,1.32,369.1,342.47,0.0,1,Exceeded limit by 309.1 km/h
35,Car,185,417,9.28,68.06,54.51,0.0,1,Exceeded limit by 8.1 km/h
36,Truck,186,334,5.92,233.32,35.59,0.0,1,Exceeded limit by 173.3 km/h
38,Car,190,455,10.6,58.19,41.24,0.0,0,Within limit
39,Car,195,226,1.24,112.97,105.6,0.0,1,Exceeded limit by 53.0 km/h
40,Car,199,495,11.84,62.72,43.7,0.0,1,Exceeded limit by 2.7 km/h
41,Car,205,505,12.0,146.46,41.19,0.0,1,Exceeded limit by 86.5 km/h
42,Car,217,254,1.48,284.87,144.99,0.0,1,Exceeded limit by 224.9 km/h
45,Car,221,254,1.32,95.11,87.93,0.0,1,Exceeded limit by 35.1 km/h
47,Car,262,296,1.36,195.82,161.79,0.0,1,Exceeded limit by 135.8 km/h
48,Car,265,310,1.8,143.44,72.07,0.0,1,Exceeded limit by 83.4 km/h
49,Car,284,314,1.2,28.29,24.69,0.0,0,Within limit
50,Car,288,318,1.2,18.83,16.17,0.0,0,Within limit
