frame,timestamp_sec,track_id,vehicle_class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,centroid_x,centroid_y,instant_speed_kmh,smooth_speed_kmh,overspeed_flag
3,0.12,1,Car,559,446,635,514,597,480,0.0,0.0,0
3,0.12,3,Car,1204,924,1288,1005,1246,964,0.0,0.0,0
4,0.16,1,Car,559,451,635,519,597,485,56.25,32.31,0
4,0.16,3,Car,1205,918,1285,996,1245,957,79.55,45.7,0
5,0.2,1,Car,557,455,633,524,595,489,50.31,40.17,0
5,0.2,3,Car,1204,912,1285,991,1244,951,68.43,55.63,0
6,0.24,1,Car,554,461,631,530,592,495,75.47,53.26,0
6,0.24,3,Car,1204,907,1283,983,1243,945,68.43,60.38,1
7,0.28,1,Car,553,466,629,534,591,500,57.36,54.63,0
7,0.28,3,Car,1203,900,1284,978,1243,939,67.5,62.75,1
8,0.32,1,Car,551,469,629,540,590,504,46.38,52.07,0
8,0.32,3,Car,1203,893,1283,970,1243,931,90.0,71.21,1
9,0.36,1,Car,549,473,627,544,588,508,50.31,51.55,0
9,0.36,3,Car,1201,888,1283,967,1242,927,46.38,63.88,1
10,0.4,1,Car,549,479,627,549,588,514,67.5,58.13,0
10,0.4,3,Car,1202,884,1282,961,1242,922,56.25,63.94,1
10,0.4,5,Car,1261,45,1323,101,1292,73,0.0,0.0,0
10,0.4,6,Truck,1355,976,1488,1078,1421,1027,0.0,0.0,0
11,0.44,1,Car,550,483,625,551,587,517,35.58,51.53,0
11,0.44,3,Car,1202,879,1283,957,1242,918,45.0,57.78,0
11,0.44,5,Car,1262,44,1323,100,1292,72,11.25,6.46,0
11,0.44,6,Truck,1353,974,1488,1077,1420,1025,25.16,14.45,0
11,0.44,7,Car,1188,1014,1290,1078,1239,1046,0.0,0.0,0
12,0.48,1,Car,550,487,623,554,586,520,35.58,46.86,0
12,0.48,3,Car,1201,872,1285,952,1243,912,68.43,60.54,1
12,0.48,5,Car,1262,43,1323,98,1292,70,22.5,13.47,0
12,0.48,6,Truck,1351,970,1490,1076,1420,1023,22.5,17.97,0
12,0.48,7,Car,1183,1008,1294,1078,1238,1043,35.58,20.44,0
13,0.52,1,Car,545,492,621,561,583,526,75.47,54.28,0
13,0.52,3,Car,1202,868,1284,946,1243,907,56.25,58.99,0
13,0.52,5,Car,1259,38,1327,100,1293,69,15.91,14.37,0
13,0.52,6,Truck,1349,967,1494,1078,1421,1022,15.91,17.2,0
13,0.52,7,Car,1179,1001,1297,1076,1238,1038,56.25,36.08,0
14,0.56,1,Car,544,495,622,566,583,530,45.0,51.43,0
14,0.56,3,Car,1202,863,1284,941,1243,902,56.25,57.87,0
14,0.56,5,Car,1258,36,1328,99,1293,67,22.5,17.08,0
14,0.56,6,Truck,1347,962,1497,1079,1422,1020,25.16,19.86,0
14,0.56,7,Car,1178,997,1299,1074,1238,1035,33.75,35.21,0
15,0.6,1,Car,542,499,621,572,581,535,60.58,54.31,0
15,0.6,3,Car,1202,857,1283,935,1242,896,68.43,59.83,0
15,0.6,5,Car,1257,31,1330,99,1293,65,22.5,18.77,0
15,0.6,6,Truck,1345,959,1498,1079,1421,1019,15.91,18.63,0
15,0.6,7,Car,1177,990,1299,1070,1238,1030,56.25,42.23,0
16,0.64,1,Car,540,504,618,575,579,539,50.31,53.28,0
16,0.64,3,Car,1202,852,1283,929,1242,890,67.5,62.58,1
16,0.64,5,Car,1256,29,1332,98,1294,63,25.16,20.65,0
16,0.64,6,Truck,1345,955,1498,1077,1421,1016,33.75,23.1,0
16,0.64,7,Car,1176,984,1298,1065,1237,1024,68.43,50.37,0
17,0.68,1,Car,540,508,617,579,578,543,46.38,50.73,0
17,0.68,3,Car,1201,845,1283,923,1242,884,67.5,64.26,1
17,0.68,5,Car,1255,26,1333,97,1294,61,22.5,21.95,0
17,0.68,6,Truck,1344,952,1499,1078,1421,1015,11.25,20.43,0
17,0.68,7,Car,1178,978,1297,1058,1237,1018,67.5,55.43,0
17,0.68,8,Car,1705,811,1845,893,1775,852,0.0,0.0,0
18,0.72,1,Car,540,512,614,580,577,546,35.58,46.8,0
18,0.72,3,Car,1199,840,1282,919,1240,879,60.58,63.87,1
18,0.72,5,Car,1255,24,1334,96,1294,60,11.25,19.17,0
18,0.72,6,Truck,1344,950,1501,1079,1422,1014,15.91,18.93,0
18,0.72,7,Car,1181,973,1295,1052,1238,1012,68.43,61.27,1
18,0.72,8,Car,1718,811,1866,897,1792,854,192.57,110.62,1
19,0.76,1,Car,537,516,613,586,575,551,60.58,51.28,0
19,0.76,3,Car,1199,834,1282,914,1240,874,56.25,61.46,1
19,0.76,5,Car,1254,22,1335,95,1294,58,22.5,20.04,0
19,0.76,6,Truck,1343,947,1501,1079,1422,1013,11.25,16.53,0
19,0.76,7,Car,1182,966,1293,1044,1237,1005,79.55,67.6,1
19,0.76,8,Car,1735,810,1886,896,1810,853,202.81,150.89,1
20,0.8,1,Car,534,520,612,592,573,556,60.58,53.15,0
20,0.8,3,Car,1198,829,1282,910,1240,869,56.25,60.11,1
20,0.8,5,Car,1254,19,1336,94,1295,56,25.16,21.7,0
20,0.8,6,Truck,1343,945,1502,1079,1422,1012,11.25,14.99,0
20,0.8,7,Car,1182,960,1294,1039,1238,999,68.43,68.26,1
20,0.8,8,Car,1755,811,1905,896,1830,853,225.0,178.37,1
21,0.84,1,Car,531,525,609,596,570,560,56.25,54.36,0
